Timestamp,current,js_201_out,speed
143186516,5,0,0
143187510,5,0,0
143188517,-52,0,0
143189511,-52,0,0
143190517,17,0,0
143191520,142,0,0
143192514,-64,0,0
143193516,-120,0,0
143194513,-52,0,0
143195515,5,0,0
143196517,5,0,0
143197510,5,0,0
143198517,17,0,0
143199510,17,0,0
143200517,73,0,0
143201510,17,0,0
143202517,-64,0,0
143203516,17,0,0
143204510,73,0,0
143205516,17,0,0
143206513,5,0,0
143207512,-120,0,0
143208513,17,0,0
143209512,5,0,0
143210514,73,0,0
143211512,200,0,0
143212539,-64,0,0
143213512,17,0,0
143214513,73,0,0
143215512,-52,0,0
143216516,-52,0,0
143217515,73,0,0
143218516,17,0,0
143219515,-52,0,0
143220510,73,0,0
143221517,5,0,0
143222511,-40,0,0
143223510,63,0,0
143224533,-64,0,0
143225514,-6,0,0
143226511,132,0,0
143227510,5,0,0
143228513,17,0,0
143229512,-74,0,0
143230515,5,0,0
143231514,5,0,0
143232516,-52,0,0
143233515,86,0,0
143234510,17,0,0
143235510,5,0,0
143236516,73,0,0
143237515,73,0,0
143238509,-201,0,0
143239517,5,0,0
143240511,-52,0,0
143241511,-178,0,0
143242513,204,0,0
143243512,-52,0,0
143244515,-52,0,0
143245539,-52,0,0
143246512,-64,0,0
143247514,5,0,0
143248638,-52,0,0
143249515,73,0,0
143250513,142,0,0
143251514,73,0,0
143252512,63,0,0
143253514,5,0,0
143254513,-52,0,0
143255513,17,0,0
143256515,-52,0,0
143257509,5,0,0
143258511,-64,0,0
143259509,-52,0,0
143260511,-52,0,0
143261510,5,0,0
143262512,-64,0,0
143263510,5,0,0
143264512,5,0,0
143265510,5,0,0
143266515,132,0,0
143267513,5,0,0
143268585,17,0,0
143269516,-6,0,0
143270510,5,0,0
143271517,73,0,0
143272510,-64,0,0
143273517,73,0,0
143274510,5,0,0
143275517,-64,0,0
143276514,-52,0,0
143277512,5,0,0
143278514,17,0,0
143279515,5,0,0
143280515,5,0,0
143281509,5,0,0
143282515,-251,0,0
143283517,17,0,0
143284516,-40,0,0
143285510,-52,0,0
143286512,5,0,0
143287514,73,0,0
143288514,5,0,0
143289516,-64,0,0
143290515,5,0,0
143291516,-52,0,0
143292511,-52,0,0
143293510,-178,0,0
143294513,5,0,0
143295511,5,0,0
143296516,5,0,0
143297516,17,0,0
143298510,132,0,0
143299509,5,0,0
143300512,-52,0,0
143301511,-120,0,0
143302514,5,0,0
143303515,-52,0,0
143304510,-52,0,0
143305509,17,0,0
143306514,-120,0,0
143307514,5,0,0
143308516,-120,0,0
143309516,63,0,0
143310509,5,0,0
143311517,-6,0,0
143312511,5,0,0
143313511,-52,0,0
143314538,73,0,0
143315510,-120,0,0
143316514,5,0,0
143317512,63,0,0
143318513,-120,0,0
143319512,-40,0,0
143320514,132,0,0
143321512,5,0,0
143322514,17,0,0
143323512,5,0,0
143324514,5,0,0
143325513,5,0,0
143326514,-120,0,0
143327516,73,0,0
143328645,-64,0,0
143329514,73,0,0
143330513,-120,0,0
143331514,-52,0,0
143332513,-120,0,0
143333515,-6,0,0
143334513,73,0,0
143335515,-52,0,0
143336541,73,0,0
143337513,17,0,0
143338515,-52,0,0
143339513,-133,0,0
143340515,17,0,0
143341514,-52,0,0
143342515,-52,0,0
143343514,73,0,0
143344515,5,0,0
143345514,17,0,0
143346511,73,0,0
143347624,-74,0,0
143348512,5,0,0
143349568,-64,0,0
143350509,-52,0,0
143351511,5,0,0
143352510,86,0,0
143353513,5,0,0
143354511,-64,0,0
143355514,17,0,0
143356516,5,0,0
143357511,-64,0,0
143358510,5,0,0
143359511,63,0,0
143360513,-52,0,0
143361513,-109,0,0
143362514,-52,0,0
143363514,-52,0,0
143364516,-52,0,0
143365515,5,0,0
143366513,5,0,0
143367512,-64,0,0
143368515,5,0,0
143369514,132,0,0
143370605,73,0,0
143371514,5,0,0
143372516,-64,0,0
143373516,17,0,0
143374510,73,0,0
143375517,5,0,0
143376514,-6,0,0
143377513,73,0,0
143378516,73,0,0
143379514,-40,0,0
143380517,-52,0,0
143381590,73,0,0
143382514,73,0,0
143383514,5,0,0
143384513,-33,0,0
143385514,-52,0,0
143386516,-64,0,0
143387517,17,0,0
143388515,5,0,0
143389516,63,0,0
143390515,17,0,0
143391516,5,0,0
143392517,-64,0,0
143393510,63,0,0
143394517,5,0,0
143395510,-120,0,0
143396512,5,0,0
143397514,5,0,0
143398512,5,0,0
143399514,5,0,0
143400512,132,0,0
143401514,63,0,0
143402513,-120,0,0
143403515,-120,0,0
143404510,5,0,0
143405516,73,0,0
143406513,5,0,0
143407511,5,0,0
143408512,73,0,0
143409511,-64,0,0
143410512,5,0,0
143411511,17,0,0
143412512,-52,0,0
143413511,73,0,0
143414514,-64,0,0
143415516,-64,0,0
143416510,5,0,0
143417512,5,0,0
143418511,-52,0,0
143419514,-52,0,0
143420513,73,0,0
143421515,-52,0,0
143422514,-64,0,0
143423516,-52,0,0
143424514,-52,0,0
143425517,17,0,0
143426514,73,0,0
143427514,-52,0,0
143428516,-120,0,0
143429515,5,0,0
143430510,5,0,0
143431509,5,0,0
143432512,17,0,0
143433511,-120,0,0
143434513,200,0,0
143435513,17,0,0
143436514,-64,0,0
143437516,-52,0,0
143438515,-52,0,0
143439510,-52,0,0
143440517,5,0,0
143441511,73,0,0
143442511,-64,0,0
143443513,-52,0,0
